unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596531600000,2020-08-04 9:00:00,ETH/USDT,391.43,392.79,390.5,392.01,38804.915,15204772.42,15271
1596535200000,2020-08-04 10:00:00,ETH/USDT,392,394.45,389.71,390.89,49587.00516,19442739.68,20288
1596538800000,2020-08-04 11:00:00,ETH/USDT,390.9,393.92,381.58,385.8,106626.9539,41398272.33,41347
1596542400000,2020-08-04 12:00:00,ETH/USDT,385.8,388.91,384.28,388.13,53829.17726,20852577.17,23657
1596546000000,2020-08-04 13:00:00,ETH/USDT,388.13,388.24,380.77,383.97,99793.76789,38334530.4,36431
1596549600000,2020-08-04 14:00:00,ETH/USDT,383.97,390.24,383.97,389.46,50447.98515,19537535.63,21072
1596553200000,2020-08-04 15:00:00,ETH/USDT,389.58,391.67,387.65,390.3,47510.12123,18529574.87,19120
1596556800000,2020-08-04 16:00:00,ETH/USDT,390.31,392.55,385.18,386.68,53288.00499,20706621.87,22570
1596560400000,2020-08-04 17:00:00,ETH/USDT,386.69,390.11,386,389.76,24513.8624,9519363.918,13936
1596564000000,2020-08-04 18:00:00,ETH/USDT,389.75,390.43,386.5,387.33,20269.11137,7869455.466,12610
1596567600000,2020-08-04 19:00:00,ETH/USDT,387.32,388.81,385.32,386.61,25994.50335,10061192.94,13382
1596571200000,2020-08-04 20:00:00,ETH/USDT,386.61,390.5,386.61,387.91,26729.4791,10400435.1,12574
1596574800000,2020-08-04 21:00:00,ETH/USDT,387.85,392.55,387,391.41,20874.37147,8139311.841,12558
1596578400000,2020-08-04 22:00:00,ETH/USDT,391.42,392.97,390.08,392.88,31415.0074,12300039.47,12782
1596582000000,2020-08-04 23:00:00,ETH/USDT,392.88,393.95,387.75,389.61,38351.55929,15008080.85,15636
1596585600000,2020-08-05 0:00:00,ETH/USDT,389.59,392,385.6,388.47,37825.09049,14696900,17374
1596589200000,2020-08-05 1:00:00,ETH/USDT,388.47,388.71,384.11,388.4,35646.17696,13787637.59,15605
1596592800000,2020-08-05 2:00:00,ETH/USDT,388.45,389.05,386.07,387.8,25737.01063,9974785.489,10834
1596596400000,2020-08-05 3:00:00,ETH/USDT,387.81,389.6,387.25,389.39,21967.50371,8535880.642,11803
