unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1524614400000,2018-04-25 0:00:00,BTC/USDT,9618.96,9759.82,8730,8869.99,81110.03759,745137763,477363
1524700800000,2018-04-26 0:00:00,BTC/USDT,8869.99,9307.48,8651.62,9266,43300.30425,385046648.1,285850
1524787200000,2018-04-27 0:00:00,BTC/USDT,9267.03,9395,8889,8915.35,37241.34704,342805674.6,268471
1524873600000,2018-04-28 0:00:00,BTC/USDT,8915.35,9427.48,8870,9348,34759.62842,321653866.2,257288
1524960000000,2018-04-29 0:00:00,BTC/USDT,9348,9570.51,9163.74,9419,38149.85004,357004896,311494
1525046400000,2018-04-30 0:00:00,BTC/USDT,9417.04,9458.64,9124.99,9246.01,35002.03388,325019389.2,285951
1525132800000,2018-05-01 0:00:00,BTC/USDT,9246.01,9248.99,8800.49,9071.48,41018.46363,368688349.6,268741
1525219200000,2018-05-02 0:00:00,BTC/USDT,9071.48,9268,8970.2,9247.84,26123.54396,238421833.8,188258
1525305600000,2018-05-03 0:00:00,BTC/USDT,9247.81,9844,9168.4,9750,38768.38829,366028365.2,282581
1525392000000,2018-05-04 0:00:00,BTC/USDT,9750,9830.04,9520.85,9713.99,28681.58888,277565997.6,210165
1525478400000,2018-05-05 0:00:00,BTC/USDT,9714,10020,9682,9864,24990.01835,246807563.5,212076
1525564800000,2018-05-06 0:00:00,BTC/USDT,9863.99,9970,9417.03,9659.01,27690.35156,267359420.3,229309
1525651200000,2018-05-07 0:00:00,BTC/USDT,9661.02,9689.67,9181,9365,33787.64001,316015961.4,230754
1525737600000,2018-05-08 0:00:00,BTC/USDT,9365,9475.7,9060.54,9187.56,25533.83189,236418155.7,189159
1525824000000,2018-05-09 0:00:00,BTC/USDT,9178,9390,8965,9310,25673.5249,235736782.3,192337
1525910400000,2018-05-10 0:00:00,BTC/USDT,9310,9395.12,8970,9002.2,25055.06372,231595002.6,221075
1525996800000,2018-05-11 0:00:00,BTC/USDT,9002.21,9016.8,8341,8400,48227.04806,418859806.5,365538
1526083200000,2018-05-12 0:00:00,BTC/USDT,8405.94,8646.88,8153,8465.94,40241.32081,337899865.9,310305
1526169600000,2018-05-13 0:00:00,BTC/USDT,8475.44,8763.36,8298,8679.71,25632.86936,219455683.1,215590
1526256000000,2018-05-14 0:00:00,BTC/USDT,8679.71,8879.99,8277,8663.34,37389.66653,320583612.2,292731
1526342400000,2018-05-15 0:00:00,BTC/USDT,8663.37,8859.99,8401.3,8462,28126.95614,242341031.1,360379
1526428800000,2018-05-16 0:00:00,BTC/USDT,8462,8488,8083.01,8330,31130.71891,257056552.4,300842
1526515200000,2018-05-17 0:00:00,BTC/USDT,8330,8464,7979,8041.46,25439.8448,209489039.3,310780
1526601600000,2018-05-18 0:00:00,BTC/USDT,8038.82,8273.21,7911.9,8239.81,23476.15825,189870380.9,183913
1526688000000,2018-05-19 0:00:00,BTC/USDT,8238.01,8390.8,8095.73,8233.49,17193.42428,141878775.4,134185
1526774400000,2018-05-20 0:00:00,BTC/USDT,8233.49,8609,8163.9,8526.98,19957.05711,167440553.7,161265
1526860800000,2018-05-21 0:00:00,BTC/USDT,8526.97,8595.31,8305,8381.24,21516.59649,181750674.8,184158
1526947200000,2018-05-22 0:00:00,BTC/USDT,8386.89,8400.18,7935.11,7977.11,23710.90286,194335432.4,192154
1527033600000,2018-05-23 0:00:00,BTC/USDT,7977.12,8031.9,7425,7501.95,42910.66677,331238049.6,306812
1527120000000,2018-05-24 0:00:00,BTC/USDT,7501.95,7730.73,7266.99,7575.01,37845.4466,284286378.5,253694
1527206400000,2018-05-25 0:00:00,BTC/USDT,7578.99,7649.55,7308.15,7457,26739.95664,199749586,239025
1527292800000,2018-05-26 0:00:00,BTC/USDT,7456.99,7620,7300,7333.96,19464.08607,145636226.5,212344
1527379200000,2018-05-27 0:00:00,BTC/USDT,7334,7400,7231.11,7338.99,18706.94552,136710618.5,198341
1527465600000,2018-05-28 0:00:00,BTC/USDT,7338.99,7437,7058.02,7099,27219.43896,196788994.3,233392
1527552000000,2018-05-29 0:00:00,BTC/USDT,7099,7540,7032.95,7461.29,39407.21183,288070643.9,237359
1527638400000,2018-05-30 0:00:00,BTC/USDT,7467.98,7569,7260.5,7375.96,32041.58362,237956894,242079
1527724800000,2018-05-31 0:00:00,BTC/USDT,7382.07,7699,7327.51,7485.01,30776.0631,231017579.8,274399
1527811200000,2018-06-01 0:00:00,BTC/USDT,7485.01,7608.55,7355.54,7521.01,28259.12408,211458512.1,303069
1527897600000,2018-06-02 0:00:00,BTC/USDT,7521.01,7697.33,7437,7640.03,26720.69022,203370447.7,290131
1527984000000,2018-06-03 0:00:00,BTC/USDT,7636.81,7786.69,7600,7714.26,27505.15895,211737376.9,349636
1528070400000,2018-06-04 0:00:00,BTC/USDT,7714.26,7760.52,7446.5,7487,32258.83512,244167051.2,307003
1528156800000,2018-06-05 0:00:00,BTC/USDT,7487,7679.49,7358,7625,31722.97338,237722147.7,236865
1528243200000,2018-06-06 0:00:00,BTC/USDT,7626.64,7699,7467.05,7658.84,27229.9919,207006657.8,257573
1528329600000,2018-06-07 0:00:00,BTC/USDT,7658.79,7765,7620,7691.08,25062.2272,192949056.8,244186
1528416000000,2018-06-08 0:00:00,BTC/USDT,7691.08,7703.5,7531,7603.44,23396.80467,178204158.4,321734
1528502400000,2018-06-09 0:00:00,BTC/USDT,7603.44,7683.98,7450,7491.73,19339.88518,147171153.4,278971
1528588800000,2018-06-10 0:00:00,BTC/USDT,7491.73,7491.73,6622.81,6764.99,52342.02003,367338754.6,471088
1528675200000,2018-06-11 0:00:00,BTC/USDT,6765,6922,6610,6872,34552.1623,233056682.9,203442
1528761600000,2018-06-12 0:00:00,BTC/USDT,6872,6890.51,6435,6530,36722.21119,245787800.8,224658
1528848000000,2018-06-13 0:00:00,BTC/USDT,6530,6627.6,6118.68,6292.78,46185.5181,295395681.7,266517
1528934400000,2018-06-14 0:00:00,BTC/USDT,6292.78,6720,6260,6635.98,44478.13084,289074808.8,256384
1529020800000,2018-06-15 0:00:00,BTC/USDT,6638.67,6666.66,6362.31,6388.9,30018.32991,196192096.1,184938
1529107200000,2018-06-16 0:00:00,BTC/USDT,6380.01,6560,6320.86,6483.98,22277.24115,143760033.7,140470
1529193600000,2018-06-17 0:00:00,BTC/USDT,6482.5,6589.03,6422,6449.61,19847.24769,129120718.8,129759
1529280000000,2018-06-18 0:00:00,BTC/USDT,6444.06,6794.38,6380,6712.46,31821.435,208570444,180773
1529366400000,2018-06-19 0:00:00,BTC/USDT,6711.39,6841.74,6653,6741.21,24311.42114,163420093.8,160490
1529452800000,2018-06-20 0:00:00,BTC/USDT,6740,6817.23,6551.81,6761.51,26359.75245,175935335.7,166074
1529539200000,2018-06-21 0:00:00,BTC/USDT,6763.21,6795,6672.57,6718.84,25428.85405,171149859.2,159783
1529625600000,2018-06-22 0:00:00,BTC/USDT,6717.69,6733.97,5918.94,6045,52157.37083,327460666.9,300515
1529712000000,2018-06-23 0:00:00,BTC/USDT,6045.92,6260,6008.48,6149.98,26622.78859,162755765.8,170164
1529798400000,2018-06-24 0:00:00,BTC/USDT,6149.98,6259.8,5750,6136.97,47445.99896,284095336.1,275996
1529884800000,2018-06-25 0:00:00,BTC/USDT,6137.95,6350,6061.97,6252,39164.51531,242859915.8,218384
1529971200000,2018-06-26 0:00:00,BTC/USDT,6252,6272.54,6035,6070.78,19377.24048,119676555.6,113431
1530057600000,2018-06-27 0:00:00,BTC/USDT,6065.89,6190.43,5971,6133.73,19225.6711,117103011.8,99481
1530144000000,2018-06-28 0:00:00,BTC/USDT,6134.73,6173.01,5827,5853.98,30585.26603,185247010.9,156241
1530230400000,2018-06-29 0:00:00,BTC/USDT,5851.01,6300,5780,6197.92,33911.28728,201409363.9,212542
1530316800000,2018-06-30 0:00:00,BTC/USDT,6197.92,6528.99,6186.03,6390.07,37919.61284,241568568,230915
1530403200000,2018-07-01 0:00:00,BTC/USDT,6391.08,6441.06,6251,6356.81,27562.96597,175096501.5,183060
1530489600000,2018-07-02 0:00:00,BTC/USDT,6360.82,6685,6271.62,6615.29,36230.45226,235524330.6,242589
1530576000000,2018-07-03 0:00:00,BTC/USDT,6615.29,6679.35,6463.01,6513.86,38657.78169,254550438.1,232914
1530662400000,2018-07-04 0:00:00,BTC/USDT,6511.01,6784.92,6441.11,6586.98,23571.89278,156277884.3,146203
1530748800000,2018-07-05 0:00:00,BTC/USDT,6585.53,6712,6453.33,6529.2,35071.9729,230809190.3,216533
1530835200000,2018-07-06 0:00:00,BTC/USDT,6529.2,6648.54,6425,6609.78,29397.09475,192230903.7,193854
1530921600000,2018-07-07 0:00:00,BTC/USDT,6609.79,6818.16,6508.88,6756.98,23973.87689,158034155.2,145449
1531008000000,2018-07-08 0:00:00,BTC/USDT,6753.48,6780,6667.44,6712.1,24622.94779,165941351.8,145349
1531094400000,2018-07-09 0:00:00,BTC/USDT,6712.1,6802.06,6612.24,6662.12,26732.40655,179250573.7,147315
1531180800000,2018-07-10 0:00:00,BTC/USDT,6662.78,6681,6263,6296.91,38560.6727,249099760.2,189913
1531267200000,2018-07-11 0:00:00,BTC/USDT,6296.91,6406,6278.99,6378.07,28715.49849,182357469,151869
1531353600000,2018-07-12 0:00:00,BTC/USDT,6378.07,6380.28,6070,6250.57,31306.66335,194325733.8,150985
1531440000000,2018-07-13 0:00:00,BTC/USDT,6251.4,6350,6110,6214.57,26375.32529,164467999.8,144757
1531526400000,2018-07-14 0:00:00,BTC/USDT,6214.57,6335,6178,6251.99,17783.072,110959488.2,108052
1531612800000,2018-07-15 0:00:00,BTC/USDT,6250.9,6395,6225.4,6353.01,22979.21151,145409822.7,114997
1531699200000,2018-07-16 0:00:00,BTC/USDT,6354.15,6747.3,6330.4,6723.35,36204.87708,237104112.5,201733
