unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1529366400000,2018-06-19 0:00:00,ETH/USDT,517.77,548.2,510.01,537.97,148148.3806,78382588.54,130777
1529452800000,2018-06-20 0:00:00,ETH/USDT,537.68,542.02,515.08,536.49,123892.0424,65285793.65,99322
1529539200000,2018-06-21 0:00:00,ETH/USDT,536.34,544.98,521.11,526.18,79862.90544,42586318.5,77470
1529625600000,2018-06-22 0:00:00,ETH/USDT,526.32,526.44,450,462.09,212659.5344,102306774.8,166517
1529712000000,2018-06-23 0:00:00,ETH/USDT,462.4,481,455,473.41,94465.26834,44316379.47,85397
1529798400000,2018-06-24 0:00:00,ETH/USDT,473.4,475.81,419.53,454.41,198264.1008,88505534.66,152764
1529884800000,2018-06-25 0:00:00,ETH/USDT,454.29,474.47,444.37,458.7,122942.1165,56436062.45,113720
1529971200000,2018-06-26 0:00:00,ETH/USDT,459.04,460.81,429,429.34,84003.09976,37307967.11,64251
1530057600000,2018-06-27 0:00:00,ETH/USDT,429.81,445.95,420.19,441.64,99156.36437,42947280.72,73853
1530144000000,2018-06-28 0:00:00,ETH/USDT,441.36,443.96,416.45,420.22,112309.5671,48557224.77,120860
1530230400000,2018-06-29 0:00:00,ETH/USDT,420.48,442,404.48,434.77,159495.3094,66573394.28,114615
1530316800000,2018-06-30 0:00:00,ETH/USDT,434.77,463.15,434.51,454.09,157169.2024,70748384.85,105384
1530403200000,2018-07-01 0:00:00,ETH/USDT,454.2,457.77,443.73,452.1,111226.6285,50173671.42,78500
1530489600000,2018-07-02 0:00:00,ETH/USDT,452.14,481.83,444.16,476.25,182585.1102,84408714.71,135295
1530576000000,2018-07-03 0:00:00,ETH/USDT,476.32,486.98,457,461.82,186954.5548,88130206.05,139942
1530662400000,2018-07-04 0:00:00,ETH/USDT,461.78,482.7,458.02,467.38,101886.202,48042056.08,81396
1530748800000,2018-07-05 0:00:00,ETH/USDT,467.19,480,458.8,467.87,125806.0083,59119270.52,113667
1530835200000,2018-07-06 0:00:00,ETH/USDT,467.79,476,451.29,470.47,100428.648,46633547.17,94081
1530921600000,2018-07-07 0:00:00,ETH/USDT,470.48,487.99,461.5,485.57,83629.95382,39311721.86,75732
1531008000000,2018-07-08 0:00:00,ETH/USDT,485.57,495.98,482.05,486.77,144703.1363,70523945.99,104195
1531094400000,2018-07-09 0:00:00,ETH/USDT,486.55,488.98,468.2,471.71,89532.14109,42954426.84,75974
1531180800000,2018-07-10 0:00:00,ETH/USDT,471.73,473.23,427.69,432.48,173640.9762,77742521.13,121085
1531267200000,2018-07-11 0:00:00,ETH/USDT,432.55,452.69,424.2,444.99,159022.5973,69570597.67,112252
